Order ID,Date,Region,Category,Product,Price,Quantity,Total Sales,Payment Method,Customer Name,Customer Age
461d8208-4a89-457f-92c6-f6b4debd45a8,2023-04-02,North,Clothing,Film,70.37,7,492.59,Cash,Penny Hunt,38
31869ab6-6317-4244-a910-7ab9108e97c4,2024-07-16,East,Electronics,Yes,458.51,1,458.51,Debit Card,Johnny Johnson,50
a355386a-720f-4f20-ba78-43bb711a05a2,2023-05-06,South,Furniture,Thus,362.64,2,725.28,Debit Card,Travis Lopez,54
9d318d9d-2eb5-49be-8132-6dc845c235f3,2024-07-25,West,Clothing,Pretty,398.14,4,1592.56,Online Payment,Matthew Jimenez,49
a5ebdad7-eb42-4d87-a4d2-0802916bb1de,2023-06-24,South,Electronics,Enjoy,236.13,9,2125.17,Cash,Michael Stephenson,43
442de871-7e69-4f73-854f-c602ebc22d06,2023-05-26,East,Clothing,Note,339.94,3,1019.82,Online Payment,Lance Taylor,46
ee4ec8b1-2b47-4c17-9f38-5dcf164184dd,2024-12-04,East,Clothing,Enjoy,450.82,9,4057.38,Credit Card,Alyssa Wheeler,61
af07f893-cfbf-4f17-b718-a322d1d808c3,2024-12-01,South,Furniture,Six,39.24,5,196.2,Debit Card,Donald Hanson,50
d61b6530-74c4-4852-ad04-5999c9cb1c5a,2023-05-12,North,Food,Fish,30.81,3,92.43,Online Payment,Alex Nelson,70
c9007a74-9f60-46d5-822b-d1ac1c4f6a27,2023-06-20,South,Automobile,Which,37.1,5,185.5,Credit Card,Matthew Soto,18
c0a11c91-8675-4ae8-bdff-cac67239ee28,2025-01-23,North,Food,Table,130.81,9,1177.29,Cash,James Miller,29
b0d9b9bd-75dd-4d7e-b1ef-7522888baa9a,2024-08-11,South,Furniture,Together,285.25,3,855.75,Cash,Megan Owens,26
335ff8ad-af09-4fdc-9932-b9833ea88107,2023-09-29,South,Clothing,Sit,15.75,7,110.25,Online Payment,Jacob Lamb,21
ea80c62b-1066-46e8-b328-e65481b5d8d5,2024-07-31,East,Furniture,Rule,499.46,1,499.46,Credit Card,Matthew Bates,67
32da366c-74db-441b-8c7e-39d63021bb5c,2023-11-23,North,Electronics,Among,476.07,6,2856.42,Debit Card,Cameron Diaz,21
3f501192-33cb-46f8-8373-2dd3735e2f0e,2024-02-03,North,Furniture,Music,464.94,7,3254.58,Credit Card,Ronnie Williams,32
4c058291-66aa-4130-930c-85541df31e48,2023-04-10,West,Food,Give,212.36,7,1486.52,Debit Card,Karen Smith,38
9a0dd6dc-8a0b-422e-82a3-459d59143725,2023-04-22,West,Electronics,Beyond,21.05,9,189.45,Cash,Lisa Martin,31
6369de94-c836-412d-bf18-b0e62bdb9d5a,2024-12-14,East,Furniture,Start,309.67,7,2167.69,Online Payment,Elizabeth Martin,20
1ed30026-ef9e-41e0-a136-3fbf9cd1e635,2023-03-22,North,Food,Law,63.86,9,574.74,Credit Card,Jacqueline Cooper,57
776a2cbb-2ea0-46f0-b1ed-afd7533514aa,2023-08-11,North,Furniture,Friend,45.22,3,135.66,Cash,Nichole Evans,26
35e57264-5dec-425e-b2c7-dfebbaaa3bec,2025-02-20,West,Furniture,Federal,167.77,1,167.77,Credit Card,Keith James,18
e9929705-bf55-49a9-bf6c-60deba3465cf,2024-03-07,West,Clothing,Week,385.03,8,3080.24,Cash,William Conner,62
111f70e2-63ab-4762-bd6f-9300d51d84d4,2023-07-13,West,Automobile,Could,139.66,2,279.32,Credit Card,David Elliott,19
89d412f8-7ab2-452a-8c05-41c568052d9f,2024-09-19,North,Automobile,Own,318.82,10,3188.2,Debit Card,Sara Ramirez,40
8991fffd-36a2-4c60-8309-d121b0c55f0f,2023-09-06,West,Clothing,During,499.8,3,1499.4,Cash,Matthew Kennedy,20
95702fd8-7895-4eb0-baba-6394773feb80,2023-12-08,East,Food,Spring,50.1,10,501.0,Online Payment,Lee Jones,28
1db66997-8b1b-4eed-9436-ad115b30e020,2024-05-05,East,Electronics,Someone,131.06,8,1048.48,Online Payment,Sandra Martinez,28
def08796-4c5a-4d2c-99c7-8a6c68cb7753,2024-01-24,South,Automobile,Society,200.35,2,400.7,Credit Card,Derrick Gonzales,57
14408784-e4db-4749-a916-1d4c0d8bb1d7,2023-12-24,North,Electronics,Receive,61.6,3,184.8,Credit Card,Mary Smith,52
c827d86e-d891-48f0-b576-db1808027423,2024-10-05,West,Clothing,Theory,272.56,9,2453.04,Credit Card,Mary Hayes,38
20b7b44f-3007-488b-8976-055137543fdd,2025-02-08,East,Furniture,Against,321.45,10,3214.5,Credit Card,Hunter Schultz,30
71c98f5b-257e-4ae7-b8c8-05364ee2d6d2,2025-01-01,North,Food,Appear,71.84,4,287.36,Online Payment,Charles Phillips,36
f76d1823-3a34-45c2-b63c-e70661ff2dac,2024-03-20,West,Automobile,Particularly,130.77,6,784.62,Debit Card,Ronald Reed,24
5120214e-b8d6-4e2b-909d-48f118de2042,2023-06-30,West,Clothing,Either,112.75,2,225.5,Credit Card,Michael Martin,64
